id,user,text,reply,label
100059,154415195,RT @Marvel: #WakandaForever. November 11. https://t.co/KoZK1BMRcW,-1,WakandaForever
100060,452761789,RT @therealsupes: LETS GOOO!😭 #WakandaForever https://t.co/PLJMUpNbFP,-1,WakandaForever
100061,1037998485352656901,RT @Marvel: #WakandaForever. November 11. https://t.co/KoZK1BMRcW,-1,WakandaForever
100062,1524491194994245632,New video out now  https://t.co/aN2jOG3rCo  #BlackPantherWakandaForever  #WakandaForever  #marvel #NewVideoAlert  #OUTNOW  #YouTube  #Reaction,-1,WakandaForever
100063,1141708334,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100064,2771961436,RT @MCU_Direct: #Ironheart's first #MCU Marvel Legends figure from #WakandaForever has been officially revealed! Pre-order now: https://t.c…,-1,WakandaForever
100065,2502972308,RT @MCUReport: All #WakandaForever posters so far 🔥 https://t.co/fdj482tpvX,-1,WakandaForever
100066,455658974,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100067,1196587349372624896,"🎬 The legacy continues. Tickets are now on sale for Black Panther: #WakandaForever, only in theaters November 11. Get yours now https://t.co/j174bhVack",-1,WakandaForever
100068,1426639856554283009,RT @MCUReport: All #WakandaForever posters so far 🔥 https://t.co/fdj482tpvX,-1,WakandaForever
100069,487204196,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100070,813405591452450817,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100071,30479085,Tickets for @theblackpanther 2 #WakandaForever secured. Can. Not. Wait.,-1,WakandaForever
100072,1499574044420624394,RT @BuckmeisterCul: If #WakandaForever is a tribute to Chadwick then as a fan I feel like I'm insulting his family if i go and cry real tea…,-1,WakandaForever
100073,988496115766059009,RT @Arvind099973: Ramayan in different countries #OmRaut #dissapointed #Bollywood #WakandaForever #DissapointingAdipurush https://t.co/9fG3…,-1,WakandaForever
100074,3091861573,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100075,1351377461502758912,RT @MCUReport: All #WakandaForever posters so far 🔥 https://t.co/fdj482tpvX,-1,WakandaForever
100076,1273167504,"RT @theblackpanther: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theate…",-1,WakandaForever
100077,1273167504,RT @theblackpanther: #WakandaForever. November 11. https://t.co/4kmmiMYWsX,-1,WakandaForever
